project_name,dep_name,managed_by,version_specified
openexr,gcc,ci,true
cloud-spanner-emulator,gzip,docker,false
cloud-spanner-emulator,make,docker,false
cloud-spanner-emulator,tar,docker,false
cloud-spanner-emulator,libc6-dev,docker,false
cloud-spanner-emulator,ca-certificates,docker,false
cloud-spanner-emulator,tzdata,docker,false
cloud-spanner-emulator,gcc,docker,false
elcarro-oracle-operator,gcc,doc,false
pcre2,gcc,ci,false
pcre2,g++-10,ci,false
brpc,make,doc,false
brpc,coreutils,doc,false
brpc,grep,doc,false
brpc,gcc,doc,false
starlark,cargo,ci,false
Catch2,gcc,ci,true
Catch2,g++-10,ci,true
verible,grep,ci,true
verible,g++-10,ci,true
verible,gcc-10,ci,true
verible,gcc,ci,true
verible,libc6-dev,ci,false
brotli,gcc,ci,true
brotli,g++-10,ci,true
cpu_features,gcc,docker,false
cpu_features,g++-10,docker,false
flatbuffers,libc6-dev,docker,false
flatbuffers,gcc,docker,false
flatbuffers,g++-10,docker,false
flatbuffers,gcc,ci,false
go-jsonnet,golang,ci,true
re2,gcc,ci,true
re2,g++-10,ci,true
grpc-java,ca-certificates,docker,false
grpc-java,gcc,docker,false
grpc-java,g++-10,docker,false
rtorrent,ca-certificates,docker,false
rtorrent,gcc,docker,false
rtorrent,g++-10,docker,false
rtorrent,make,docker,false
rtorrent,libc6-dev,docker,false
prometheus-cpp,ca-certificates,ci,false
livegrep,gcc,docker,false
livegrep,g++-10,docker,false
livegrep,ca-certificates,docker,false
livegrep,git,docker,false
opentitan,openssl,doc,false
opentitan,lsb-release,other,false
opentitan,git,other,false
opentitan,rustc,other,falsee
opentitan,gcc,other,false
opentitan,g++-10,other,false
opentitan,binutils,other,false
opentitan,libc6-dev,other,false
cpuinfo,gcc,ci,false
cpuinfo,g++-10,ci,false
