tool_name,version,date
curl,7.58.0-2ubuntu3.12,2021-04-01T09:04:35+00:00
curl,7.58.0-2ubuntu3.13,2021-04-08T11:41:35+00:00
curl,7.58.0-2ubuntu3.14,2021-07-29T09:09:00+00:00
curl,7.58.0-2ubuntu3.15,2021-09-23T09:22:03+00:00
curl,7.58.0-2ubuntu3.16,2021-09-30T11:23:16+00:00
curl,7.58.0-2ubuntu3.17,2022-05-04T08:33:53+00:00
curl,7.58.0-2ubuntu3.18,2022-05-19T07:46:58+00:00
curl,7.58.0-2ubuntu3.19,2022-07-12T09:29:32+00:00
curl,7.58.0-2ubuntu3.20,2022-09-30T10:16:21+00:00
curl,7.58.0-2ubuntu3.21,2022-12-22T18:33:45+00:00
curl,7.58.0-2ubuntu3.22,2023-01-19T15:32:31+00:00
