tool_name,version,date
ndk,21.4.7075529,2021-04-01T09:04:35+00:00
ndk,21.4.7075529 (default),2021-09-30T11:23:16+00:00
ndk,23.0.7599858,2021-09-30T11:23:16+00:00
ndk,21.4.7075529 (default),2021-11-03T12:38:19+00:00
ndk,23.1.7779620,2021-11-03T12:38:19+00:00
ndk,21.4.7075529 (default),2022-06-02T08:37:37+00:00
ndk,23.2.8568313,2022-06-02T08:37:37+00:00
ndk,21.4.7075529,2022-06-09T18:27:47+00:00
ndk,23.2.8568313 (default),2022-06-09T18:27:47+00:00
ndk,24.0.8215888,2022-06-09T18:27:47+00:00
ndk,21.4.7075529,2022-07-26T09:43:46+00:00
ndk,23.2.8568313,2022-07-26T09:43:46+00:00
ndk,24.0.8215888,2022-07-26T09:43:46+00:00
ndk,23.2.8568313,2022-08-03T09:53:28+00:00
ndk,24.0.8215888,2022-08-03T09:53:28+00:00
ndk,25.0.8775105 (default),2022-08-03T09:53:28+00:00
ndk,23.2.8568313,2022-09-30T10:16:21+00:00
ndk,24.0.8215888,2022-09-30T10:16:21+00:00
ndk,25.1.8937393 (default),2022-09-30T10:16:21+00:00
ndk,23.2.8568313,2023-02-18T17:07:17+00:00
ndk,24.0.8215888,2023-02-18T17:07:17+00:00
ndk,25.2.9519653 (default),2023-02-18T17:07:17+00:00
