tool_name,version,date
powershell,7.1.3,2021-04-01T09:04:35+00:00
powershell,7.1.4,2021-08-19T08:08:26+00:00
powershell,7.1.5,2021-10-21T10:00:52+00:00
powershell,7.2.0,2021-11-10T10:33:07+00:00
powershell,7.2.1,2021-12-22T09:03:14+00:00
powershell,7.2.2,2022-03-28T16:10:17+00:00
powershell,7.2.3,2022-05-04T08:33:53+00:00
powershell,7.2.4,2022-06-02T08:37:37+00:00
powershell,7.2.5,2022-06-28T13:46:57+00:00
powershell,7.2.6,2022-09-30T10:16:21+00:00
powershell,7.2.8,2022-12-22T18:33:45+00:00
powershell,7.2.9,2023-02-18T17:07:17+00:00
