tool_name,version,date
heroku,7.67.1,2023-01-12T13:14:56+00:00
heroku,7.67.2,2023-02-02T09:59:42+00:00
heroku,7.68.1,2023-02-18T17:35:35+00:00
heroku,7.68.2,2023-03-02T12:54:30+00:00
heroku,7.69.1,2023-03-16T09:47:08+00:00
heroku,8.1.3,2023-05-11T06:28:26+00:00
heroku,8.1.7,2023-06-08T11:09:44+00:00
heroku,8.1.8,2023-06-22T10:50:29+00:00
heroku,8.1.9,2023-06-29T09:04:26+00:00
heroku,8.3.1,2023-08-24T11:06:16+00:00
heroku,8.4.2,2023-09-07T11:49:34+00:00
heroku,8.4.3,2023-09-28T06:48:30+00:00
heroku,8.5.0,2023-10-05T08:52:06+00:00
heroku,8.6.0,2023-10-18T12:46:58+00:00
heroku,8.7.0,2023-10-26T18:59:36+00:00
heroku,8.7.1,2023-11-20T12:48:32+00:00
heroku,8.9.0,2024-02-13T14:13:03+00:00
heroku,8.10.0,2024-02-29T09:10:07+00:00
