tool_name,version,date
chromedriver,108.0.5359.71,2023-01-12T14:06:52+00:00
chromedriver,109.0.5414.74,2023-01-19T16:39:34+00:00
chromedriver,110.0.5481.77,2023-02-17T20:44:57+00:00
chromedriver,111.0.5563.64,2023-03-16T09:48:21+00:00
chromedriver,112.0.5615.49,2023-04-13T12:27:52+00:00
chromedriver,113.0.5672.63,2023-05-11T06:29:58+00:00
chromedriver,114.0.5735.90,2023-06-08T16:54:10+00:00
chromedriver,115.0.5790.102,2023-07-26T13:08:46+00:00
chromedriver,115.0.5790.170,2023-08-10T09:28:11+00:00
chromedriver,116.0.5845.96,2023-08-24T11:06:39+00:00
chromedriver,117.0.5938.88,2023-09-21T16:28:02+00:00
chromedriver,117.0.5938.92,2023-09-28T12:35:08+00:00
chromedriver,118.0.5993.70,2023-10-18T17:35:11+00:00
chromedriver,119.0.6045.105,2023-11-20T13:07:42+00:00
chromedriver,120.0.6099.71,2023-12-14T10:39:44+00:00
chromedriver,120.0.6099.109,2024-01-11T11:16:41+00:00
chromedriver,121.0.6167.85,2024-01-31T22:58:21+00:00
chromedriver,121.0.6167.184,2024-02-21T23:30:45+00:00
chromedriver,122.0.6261.69,2024-02-29T15:40:09+00:00
chromedriver,122.0.6261.94,2024-03-06T16:58:52+00:00
