tool_name,version,date
kotlin,1.8.0-release-345,2023-01-12T14:06:52+00:00
kotlin,1.8.10-release-430,2023-02-09T12:08:09+00:00
kotlin,1.8.20-release-327,2023-04-13T12:27:52+00:00
kotlin,1.8.21-release-380,2023-04-26T17:33:11+00:00
kotlin,1.8.22-release-407,2023-06-15T10:48:57+00:00
kotlin,1.9.0-release-358,2023-07-13T11:21:57+00:00
kotlin,1.9.10-release-459,2023-09-07T11:34:19+00:00
kotlin,1.9.255-SNAPSHOT,2023-11-20T13:07:42+00:00
kotlin,1.9.21-release-633,2023-11-30T10:44:49+00:00
kotlin,1.9.22-release-704,2024-01-11T11:16:41+00:00
