tool_name,version,date
kubectl,1.26.0,2023-01-12T14:06:52+00:00
kubectl,1.26.1,2023-01-19T16:39:34+00:00
kubectl,1.26.2,2023-03-09T09:15:42+00:00
kubectl,1.26.3,2023-03-23T18:39:17+00:00
kubectl,1.27.1,2023-04-20T10:20:30+00:00
kubectl,1.27.2,2023-06-02T08:55:20+00:00
kubectl,1.27.3,2023-06-22T10:54:09+00:00
kubectl,1.27.4,2023-07-26T13:08:46+00:00
kubectl,1.28.0,2023-08-24T11:06:39+00:00
kubectl,1.28.1,2023-09-07T11:34:19+00:00
kubectl,1.28.2,2023-09-21T16:28:02+00:00
kubectl,1.28.3,2023-10-26T10:21:11+00:00
kubectl,1.28.4,2023-11-20T13:07:42+00:00
kubectl,1.29.0,2023-12-20T15:51:32+00:00
kubectl,1.29.1,2024-01-25T14:34:43+00:00
kubectl,1.29.2,2024-02-21T23:30:45+00:00
