project,pkg_name,syscall,path,type
autodiff,libc6-dev,read,/usr/include/x86_64-linux-gnu/bits/types.h,transitive
autodiff,libc6-dev,openat,/usr/include/x86_64-linux-gnu/bits/types/sigset_t.h,transitive
autodiff,libc6-dev,read,/usr/include/x86_64-linux-gnu/bits/types/clockid_t.h,transitive
autodiff,libstdc++-10-dev,openat,/usr/include/c++/10/tr1/riemann_zeta.tcc,transitive
autodiff,libstdc++-10-dev,openat,/usr/include/c++/10/bits/range_cmp.h,transitive
autodiff,libstdc++-10-dev,openat,/usr/include/c++/10/bits/basic_string.h,transitive
autodiff,libstdc++-10-dev,read,/usr/include/c++/10/ostream,transitive
autodiff,libc6-dev,openat,/usr/include/x86_64-linux-gnu/bits/types/__fpos64_t.h,transitive
autodiff,libstdc++-10-dev,openat,/usr/include/x86_64-linux-gnu/c++/10/bits/c++locale.h,transitive
autodiff,ca-certificates,read,/usr/share/ca-certificates/mozilla/Go_Daddy_Root_Certificate_Authority_-_G2.crt,top
autodiff,libc-bin,openat,/etc/gai.conf,top
autodiff,libstdc++-10-dev,read,/usr/include/c++/10/tr1/poly_laguerre.tcc,transitive
autodiff,libstdc++-10-dev,openat,/usr/include/c++/10/bits/move.h,transitive
autodiff,ca-certificates,read,/usr/share/ca-certificates/mozilla/GTS_Root_R2.crt,top
autodiff,linux-libc-dev,openat,/usr/include/linux/limits.h,transitive
autodiff,libstdc++-10-dev,read,/usr/include/c++/10/bits/cpp_type_traits.h,transitive
autodiff,libstdc++-10-dev,read,/usr/include/c++/10/memory,transitive
autodiff,tzdata,openat,/usr/share/zoneinfo/Etc/UTC,transitive
autodiff,libc6-dev,openat,/usr/include/x86_64-linux-gnu/bits/sched.h,transitive
autodiff,libstdc++-10-dev,openat,/usr/include/x86_64-linux-gnu/c++/10/bits/os_defines.h,transitive
autodiff,linux-libc-dev,read,/usr/include/linux/errno.h,transitive
autodiff,libstdc++-10-dev,openat,/usr/include/c++/10/cstdint,transitive
autodiff,libstdc++-10-dev,read,/usr/include/c++/10/bits/functional_hash.h,transitive
autodiff,libc6-dev,openat,/usr/include/x86_64-linux-gnu/sys/types.h,transitive
autodiff,libc6-dev,openat,/usr/include/x86_64-linux-gnu/bits/posix1_lim.h,transitive
autodiff,unknown,openat,/usr/bin,unknown
autodiff,ca-certificates,openat,/usr/share/ca-certificates/mozilla/Trustis_FPS_Root_CA.crt,top
autodiff,libstdc++-10-dev,read,/usr/include/c++/10/bits/unique_ptr.h,transitive
autodiff,libc6-dev,openat,/usr/include/features.h,transitive
autodiff,libstdc++-10-dev,read,/usr/include/c++/10/tr1/gamma.tcc,transitive
autodiff,libstdc++-10-dev,read,/usr/include/c++/10/bits/uniform_int_dist.h,transitive
autodiff,libstdc++-10-dev,openat,/usr/include/c++/10/bits/algorithmfwd.h,transitive
autodiff,libgcc-10-dev,openat,/usr/lib/gcc/x86_64-linux-gnu/10/include/emmintrin.h,transitive
autodiff,libstdc++-10-dev,read,/usr/include/c++/10/bits/hashtable_policy.h,transitive
autodiff,ca-certificates,openat,/usr/share/ca-certificates/mozilla/GlobalSign_Root_CA.crt,top
autodiff,libc6,read,/usr/lib/x86_64-linux-gnu/libresolv-2.31.so,transitive
autodiff,libc6-dev,read,/usr/lib/x86_64-linux-gnu/libc.so,transitive
autodiff,libc6,read,/usr/lib/x86_64-linux-gnu/libmvec-2.31.so,transitive
autodiff,ca-certificates,openat,/usr/share/ca-certificates/mozilla/Amazon_Root_CA_3.crt,top
autodiff,libstdc++-10-dev,openat,/usr/include/c++/10/concepts,transitive
autodiff,unknown,openat,/usr/lib/locale/C.UTF-8/LC_MESSAGES,unknown
autodiff,libstdc++-10-dev,openat,/usr/include/c++/10/debug/assertions.h,transitive
autodiff,ca-certificates,openat,/usr/share/ca-certificates/mozilla/DigiCert_High_Assurance_EV_Root_CA.crt,top
autodiff,ca-certificates,openat,/usr/share/ca-certificates/mozilla/TeliaSonera_Root_CA_v1.crt,top
autodiff,ca-certificates,read,/usr/share/ca-certificates/mozilla/Comodo_AAA_Services_root.crt,top
autodiff,libstdc++-10-dev,openat,/usr/include/x86_64-linux-gnu/c++/10/bits/ctype_base.h,transitive
autodiff,libc6-dev,openat,/usr/include/x86_64-linux-gnu/bits/thread-shared-types.h,transitive
autodiff,libstdc++-10-dev,openat,/usr/include/c++/10/cstdlib,transitive
autodiff,libstdc++-10-dev,openat,/usr/include/c++/10/backward/binders.h,transitive
autodiff,ca-certificates,openat,/usr/share/ca-certificates/mozilla/Security_Communication_Root_CA.crt,top
autodiff,libstdc++-10-dev,read,/usr/include/c++/10/climits,transitive
autodiff,openjdk-17-jre-headless,read,/usr/lib/jvm/java-17-openjdk-amd64/lib/libjava.so,top
autodiff,libstdc++-10-dev,read,/usr/include/x86_64-linux-gnu/c++/10/bits/gthr-default.h,transitive
autodiff,libstdc++-10-dev,openat,/usr/include/x86_64-linux-gnu/c++/10/bits/c++config.h,transitive
autodiff,ca-certificates,openat,/usr/share/ca-certificates/mozilla/ACCVRAIZ1.crt,top
autodiff,ca-certificates,read,/usr/share/ca-certificates/mozilla/QuoVadis_Root_CA_3_G3.crt,top
autodiff,unknown,openat,/etc/ld.so.cache,unknown
autodiff,ca-certificates,openat,/usr/share/ca-certificates/mozilla/TWCA_Global_Root_CA.crt,top
autodiff,libstdc++-10-dev,read,/usr/include/c++/10/initializer_list,transitive
