project,pkg_name,syscall,path,type
bazel-deps,openjdk-17-jre-headless,openat,/etc/java-17-openjdk/jvm-amd64.cfg,top
bazel-deps,unknown,openat,/usr/lib/jvm/java-17-openjdk-amd64/lib,unknown
bazel-deps,openjdk-17-jre-headless,read,/etc/java-17-openjdk/net.properties,top
bazel-deps,libmpc3,read,/usr/lib/x86_64-linux-gnu/libmpc.so.3.2.0,transitive
bazel-deps,liblzma5,openat,/usr/lib/x86_64-linux-gnu/liblzma.so.5.2.5,transitive
bazel-deps,unknown,read,/sys/fs/cgroup/user.slice/user-1001.slice/session-190.scope/memory.max,unknown
bazel-deps,libc-bin,openat,/etc/gai.conf,top
bazel-deps,unknown,openat,/usr/lib/jvm/java-17-openjdk-amd64/conf,unknown
bazel-deps,openjdk-17-jdk-headless,read,/usr/lib/jvm/java-17-openjdk-amd64/bin/jinfo,transitive
bazel-deps,openjdk-17-jre-headless,read,/usr/lib/jvm/java-17-openjdk-amd64/lib/libmanagement_agent.so,top
bazel-deps,openjdk-17-jre-headless,read,/usr/lib/jvm/java-17-openjdk-amd64/lib/libawt.so,top
bazel-deps,openjdk-17-jdk-headless,read,/usr/lib/jvm/java-17-openjdk-amd64/include/jvmticmlr.h,transitive
bazel-deps,openjdk-17-jre-headless,openat,/usr/lib/jvm/java-17-openjdk-amd64/lib/libjimage.so,top
bazel-deps,libgcc-10-dev,read,/usr/lib/gcc/x86_64-linux-gnu/10/libgcc_s.so,transitive
bazel-deps,openjdk-17-jre,read,/usr/lib/jvm/java-17-openjdk-amd64/lib/libjawt.so,transitive
bazel-deps,libtinfo6,read,/usr/lib/x86_64-linux-gnu/libtinfo.so.6.2,transitive
bazel-deps,openjdk-17-jre-headless,read,/etc/java-17-openjdk/security/public_suffix_list.dat,top
bazel-deps,openjdk-17-jre-headless,read,/usr/lib/jvm/java-17-openjdk-amd64/lib/ct.sym,top
bazel-deps,zlib1g,read,/usr/lib/x86_64-linux-gnu/libz.so.1.2.11,transitive
bazel-deps,openjdk-17-jre-headless,read,/usr/lib/jvm/java-17-openjdk-amd64/lib/libj2pkcs11.so,top
bazel-deps,unknown,read,/sys/kernel/mm/transparent_hugepage/hpage_pmd_size,unknown
bazel-deps,tzdata,openat,/usr/share/zoneinfo/Etc/UTC,transitive
bazel-deps,libc6,read,/usr/lib/x86_64-linux-gnu/libpthread-2.31.so,transitive
bazel-deps,unknown,read,/etc/ssl/certs/java/cacerts,unknown
bazel-deps,openjdk-17-jdk-headless,read,/usr/lib/jvm/java-17-openjdk-amd64/bin/jstat,transitive
bazel-deps,unknown,openat,/usr/lib/jvm/java-17-openjdk-amd64/include/linux,unknown
bazel-deps,libatk-wrapper-java-jni,read,/usr/lib/x86_64-linux-gnu/jni/libatk-wrapper.so,top
bazel-deps,openjdk-17-jre-headless,read,/etc/java-17-openjdk/psfontj2d.properties,top
bazel-deps,libc6,openat,/usr/lib/x86_64-linux-gnu/ld-2.31.so,transitive
bazel-deps,libc6-dev,openat,/usr/lib/x86_64-linux-gnu/crti.o,transitive
bazel-deps,unknown,openat,/dev/random,unknown
bazel-deps,openjdk-17-jre-headless,read,/usr/lib/jvm/java-17-openjdk-amd64/lib/server/libjvm.so,top
bazel-deps,libgmp10,openat,/usr/lib/x86_64-linux-gnu/libgmp.so.10.4.1,transitive
bazel-deps,openjdk-17-jdk-headless,read,/usr/lib/jvm/java-17-openjdk-amd64/bin/jstatd,transitive
bazel-deps,coreutils,execve,/bin/true,top
bazel-deps,openjdk-17-jdk-headless,read,/usr/lib/jvm/java-17-openjdk-amd64/bin/jps,transitive
bazel-deps,libgcrypt20,read,/usr/lib/x86_64-linux-gnu/libgcrypt.so.20.2.8,transitive
bazel-deps,openjdk-17-jre-headless,read,/usr/lib/jvm/java-17-openjdk-amd64/lib/libnet.so,top
bazel-deps,libctf0,openat,/usr/lib/x86_64-linux-gnu/libctf.so.0.0.0,transitive
bazel-deps,base-files,openat,/etc/host.conf,transitive
bazel-deps,libzstd1,openat,/usr/lib/x86_64-linux-gnu/libzstd.so.1.4.8,transitive
bazel-deps,openjdk-17-jre-headless,read,/usr/lib/jvm/java-17-openjdk-amd64/bin/jpackage,top
bazel-deps,unknown,read,/etc/passwd,unknown
bazel-deps,libgpg-error0,read,/usr/lib/x86_64-linux-gnu/libgpg-error.so.0.29.0,top
bazel-deps,openjdk-17-jre-headless,openat,/usr/lib/jvm/java-17-openjdk-amd64/lib/modules,top
bazel-deps,libc6,read,/usr/lib/x86_64-linux-gnu/libresolv-2.31.so,transitive
bazel-deps,openjdk-17-jdk-headless,read,/usr/lib/jvm/java-17-openjdk-amd64/bin/javadoc,transitive
bazel-deps,openjdk-17-jre-headless,openat,/usr/lib/jvm/java-17-openjdk-amd64/lib/libjli.so,top
bazel-deps,libc6-dev,read,/usr/lib/x86_64-linux-gnu/libc.so,transitive
bazel-deps,gcc-10,read,/usr/lib/gcc/x86_64-linux-gnu/10/liblto_plugin.so.0.0.0,transitive
bazel-deps,unknown,openat,/sys/devices/system/cpu,unknown
bazel-deps,openjdk-17-jre-headless,read,/etc/java-17-openjdk/management/management.properties,top
bazel-deps,libc6,read,/usr/lib/x86_64-linux-gnu/librt-2.31.so,transitive
bazel-deps,openjdk-17-jre-headless,read,/usr/lib/jvm/java-17-openjdk-amd64/lib/libjsvml.so,top
bazel-deps,unknown,openat,/usr/lib/locale/C.UTF-8/LC_MESSAGES,unknown
bazel-deps,libmpfr6,openat,/usr/lib/x86_64-linux-gnu/libmpfr.so.6.1.0,transitive
bazel-deps,unknown,openat,/etc/timezone,unknown
bazel-deps,openjdk-17-jdk,read,/usr/lib/jvm/java-17-openjdk-amd64/include/jawt.h,top
bazel-deps,openjdk-17-jre-headless,read,/usr/lib/jvm/java-17-openjdk-amd64/lib/libj2pcsc.so,top
bazel-deps,libisl23,read,/usr/lib/x86_64-linux-gnu/libisl.so.23.0.0,transitive
bazel-deps,liblz4-1,openat,/usr/lib/x86_64-linux-gnu/liblz4.so.1.9.3,top
bazel-deps,unknown,openat,/sys/devices/system/cpu/online,unknown
bazel-deps,openjdk-17-jdk-headless,read,/usr/lib/jvm/java-17-openjdk-amd64/bin/javac,transitive
