package,source_package,date,version,repo
gcc,gcc-defaults,2021-01-11T22:22:42+01:00,1.190,unstable
gcc,gcc-defaults,2020-09-17T15:46:09+02:00,1.189,unstable
gcc,gcc-defaults,2020-07-21T16:16:25+02:00,1.188,unstable
gcc,gcc-defaults,2019-12-10T14:15:02+01:00,1.187,experimental
gcc,gcc-defaults,2019-09-09T14:30:14+02:00,1.185.1,unstable
gcc,gcc-defaults,2019-08-23T21:25:50+02:00,1.185,unstable
gcc,gcc-defaults,2019-08-22T13:13:13+02:00,1.184,unstable
gcc,gcc-defaults,2019-08-14T01:23:25+02:00,1.183,unstable
gcc,gcc-defaults,2019-03-27T22:51:47+01:00,1.182,experimental
gcc,gcc-defaults,2018-10-30T14:14:38+01:00,1.180,unstable
gcc,gcc-defaults,2018-08-16T12:44:12+02:00,1.179,unstable
gcc,gcc-defaults,2018-07-19T10:22:48+02:00,1.178,unstable
gcc,gcc-defaults,2018-04-26T09:48:54+02:00,1.177,experimental
gcc,gcc-defaults,2018-04-04T12:16:13+02:00,1.176,unstable
gcc,gcc-defaults,2018-03-23T11:44:07+08:00,1.175,unstable
gcc,gcc-defaults,2018-03-15T15:22:14+01:00,1.174,unstable
gcc,gcc-defaults,2017-09-17T14:38:42+02:00,1.173d1,unstable
gcc,gcc-defaults,2017-09-17T12:36:40+02:00,1.173,unstable
gcc,gcc-defaults,2017-08-08T11:56:36-04:00,1.172,unstable
gcc,gcc-defaults,2017-08-03T21:23:51-04:00,1.171,unstable
