package,source_package,date,version,repo
libpcre2-8-0,pcre2,2022-08-21T12:15:50+01:00,10.36-2+deb11u1,bullseye
libpcre2-8-0,pcre2,2020-12-13T16:23:03+00:00,10.36-2,unstable
libpcre2-8-0,pcre2,2020-12-07T12:35:19+00:00,10.36-1,experimental
libpcre2-8-0,pcre2,2020-12-04T09:52:04+00:00,10.35-2,unstable
libpcre2-8-0,pcre2,2020-11-27T09:25:08+00:00,10.35-1,experimental
libpcre2-8-0,pcre2,2019-12-07T17:06:59+00:00,10.34-7,unstable
libpcre2-8-0,pcre2,2019-12-07T14:34:25+00:00,10.34-6,unstable
libpcre2-8-0,pcre2,2019-12-03T21:14:29+00:00,10.34-5,unstable
libpcre2-8-0,pcre2,2019-12-03T19:20:54+00:00,10.34-4,unstable
libpcre2-8-0,pcre2,2019-12-02T11:58:33+00:00,10.34-3,unstable
libpcre2-8-0,pcre2,2019-12-02T11:22:32+00:00,10.34-2,unstable
libpcre2-8-0,pcre2,2019-11-28T16:28:31+00:00,10.34-1,unstable
libpcre2-8-0,pcre2,2019-03-25T19:56:19+00:00,10.32-5,unstable
libpcre2-8-0,pcre2,2019-01-24T09:20:51+00:00,10.32-4,unstable
libpcre2-8-0,pcre2,2018-10-28T14:19:04+00:00,10.32-3,unstable
libpcre2-8-0,pcre2,2018-10-26T20:01:53+01:00,10.32-2,unstable
libpcre2-8-0,pcre2,2018-10-26T19:27:13+01:00,10.32-1,unstable
libpcre2-8-0,pcre2,2018-03-10T00:31:33+00:00,10.31-3,unstable
libpcre2-8-0,pcre2,2018-02-24T14:57:26+00:00,10.31-2,unstable
libpcre2-8-0,pcre2,2018-02-24T12:13:02+00:00,10.31-1,unstable
libpcre2-8-0,pcre2,2018-02-03T18:44:08+00:00,10.22-6,unstable
libpcre2-8-0,pcre2,2017-12-01T17:35:06+00:00,10.22-5,unstable
libpcre2-8-0,pcre2,2017-11-30T14:17:39+00:00,10.22-4,unstable
