package,source_package,date,version,repo
libtasn1-6,libtasn1-6,2022-11-01T11:57:42+01:00,4.16.0-2+deb11u1,bullseye
libtasn1-6,libtasn1-6,2020-02-15T17:38:59+01:00,4.16.0-2,unstable
libtasn1-6,libtasn1-6,2020-02-02T10:55:07+01:00,4.16.0-1,experimental
libtasn1-6,libtasn1-6,2019-12-01T14:11:29+01:00,4.15.0-2,unstable
libtasn1-6,libtasn1-6,2019-11-30T06:33:46+01:00,4.15.0-1,experimental
libtasn1-6,libtasn1-6,2019-09-14T12:55:23+02:00,4.14-3,unstable
libtasn1-6,libtasn1-6,2019-07-27T17:25:00+02:00,4.14-2,unstable
libtasn1-6,libtasn1-6,2019-07-26T19:45:42+02:00,4.14-1,experimental
libtasn1-6,libtasn1-6,2019-07-13T11:27:43+02:00,4.13-4,unstable
libtasn1-6,libtasn1-6,2018-05-16T20:05:15+02:00,4.13-3,unstable
libtasn1-6,libtasn1-6,2018-01-21T14:01:04+01:00,4.13-2,unstable
libtasn1-6,libtasn1-6,2018-01-17T18:36:39+01:00,4.13-1,experimental
libtasn1-6,libtasn1-6,2017-11-25T17:50:16+01:00,4.12-3,unstable
libtasn1-6,libtasn1-6,2017-07-25T07:04:58+02:00,4.12-2.1,unstable
libtasn1-6,libtasn1-6,2017-06-18T11:16:39+02:00,4.12-2,unstable
