package,source_package,date,version,repo
rustc,rustc,2020-12-20T18:52:10+00:00,1.48.0+dfsg1-2,unstable
rustc,rustc,2020-12-01T19:57:48+00:00,1.48.0+dfsg1-1,unstable
rustc,rustc,2020-11-13T01:36:31+00:00,1.48.0~beta.8+dfsg1-1~exp3,experimental
rustc,rustc,2020-11-12T23:51:53+00:00,1.48.0~beta.8+dfsg1-1~exp2,experimental
rustc,rustc,2020-11-11T12:31:18+00:00,1.48.0~beta.8+dfsg1-1~exp1,experimental
rustc,rustc,2020-11-07T21:21:03+00:00,1.47.0+dfsg1-1,unstable
rustc,rustc,2020-09-05T16:11:16+01:00,1.47.0~beta.2+dfsg1-1~exp1,experimental
rustc,rustc,2020-08-29T16:54:36+01:00,1.46.0+dfsg1-1,unstable
rustc,rustc,2020-08-14T23:45:25+01:00,1.46.0~beta.2+dfsg1-1~exp5,experimental
rustc,rustc,2020-08-09T18:16:16+01:00,1.46.0~beta.2+dfsg1-1~exp4,experimental
rustc,rustc,2020-08-09T14:27:54+01:00,1.46.0~beta.2+dfsg1-1~exp3,experimental
rustc,rustc,2020-08-09T03:52:34+01:00,1.46.0~beta.2+dfsg1-1~exp2,experimental
rustc,rustc,2020-08-07T00:15:46+01:00,1.46.0~beta.2+dfsg1-1~exp1,experimental
rustc,rustc,2020-08-06T21:11:39+01:00,1.45.0+dfsg1-2,unstable
rustc,rustc,2020-08-05T21:41:39+01:00,1.45.0+dfsg1-1,unstable
rustc,rustc,2020-07-27T17:45:24+01:00,1.45.0+dfsg1-1~exp1,experimental
rustc,rustc,2020-07-28T21:51:36+01:00,1.44.1+dfsg1-3,unstable
rustc,rustc,2020-07-28T21:20:24+01:00,1.44.1+dfsg1-2,unstable
rustc,rustc,2020-07-27T13:15:20+01:00,1.44.1+dfsg1-1,unstable
rustc,rustc,2020-07-04T18:04:42+01:00,1.44.1+dfsg1-1~exp1,experimental
rustc,rustc,2020-07-05T15:06:52+01:00,1.43.0+dfsg1-1,unstable
rustc,rustc,2020-04-27T13:09:20+01:00,1.43.0+dfsg1-1~exp1,experimental
rustc,rustc,2020-04-10T11:33:25+01:00,1.42.0+dfsg1-1,unstable
rustc,rustc,2020-04-04T16:06:03+01:00,1.42.0+dfsg1-1~exp1,experimental
rustc,rustc,2020-04-03T23:41:11+01:00,1.41.1+dfsg1-1,unstable
rustc,rustc,2020-03-09T00:31:34+00:00,1.41.1+dfsg1-1~exp1,experimental
rustc,rustc,2020-01-05T13:35:46+00:00,1.40.0+dfsg1-5,unstable
rustc,rustc,2020-01-04T05:40:11+00:00,1.40.0+dfsg1-4,unstable
rustc,rustc,2020-01-03T22:05:16+00:00,1.40.0+dfsg1-3,unstable
rustc,rustc,2020-01-03T20:18:46+00:00,1.40.0+dfsg1-2,unstable
rustc,rustc,2019-12-29T22:17:04+00:00,1.40.0+dfsg1-1,unstable
rustc,rustc,2019-12-25T00:09:24+00:00,1.40.0+dfsg1-1~exp1,experimental
rustc,rustc,2019-12-23T03:21:02+00:00,1.39.0+dfsg1-4,unstable
rustc,rustc,2019-12-06T22:18:53+00:00,1.39.0+dfsg1-3,unstable
rustc,rustc,2019-12-05T22:51:41+00:00,1.39.0+dfsg1-2,unstable
rustc,rustc,2019-11-30T22:20:48+00:00,1.39.0+dfsg1-1,unstable
rustc,rustc,2019-11-29T00:05:16+00:00,1.38.0+dfsg1-2,unstable
rustc,rustc,2019-11-26T14:41:46+00:00,1.38.0+dfsg1-1,unstable
rustc,rustc,2019-09-05T00:06:23-07:00,1.37.0+dfsg1-1,unstable
rustc,rustc,2019-08-29T09:00:03-07:00,1.37.0+dfsg1-1~exp2,experimental
rustc,rustc,2019-08-25T03:06:33-07:00,1.37.0+dfsg1-1~exp1,experimental
rustc,rustc,2019-07-17T18:25:06-07:00,1.36.0+dfsg1-2,unstable
rustc,rustc,2019-07-16T20:27:55-07:00,1.36.0+dfsg1-1,unstable
rustc,rustc,2019-07-13T12:42:05-07:00,1.36.0+dfsg1-1~exp1,experimental
