project,build_tool,variations,target
AcademySoftwareFoundation_openexr,bazel,,
3rdparty_stout,bazel,,
GoogleCloudDataproc_initialization-actions,bazel,,
GoogleCloudPlatform_cloud-spanner-emulator,bazel,,binaries/gateway_main
GoogleCloudPlatform_elcarro-oracle-operator,bazel,,
GoogleCloudPlatform_k8s-cluster-bundle,bazel,,//...
GoogleCloudPlatform_testgrid,bazel,,//...
JetBrains_bazel-bsp,bazel,,//...
PCRE2Project_pcre2,bazel,,
Tinder_bazel-diff,bazel,,
abseil_abseil-py,bazel,,//...
angular_material.angular.io,bazel,-kernel,
angular_vscode-ng-language-service,bazel,-kernel,
apache_brpc,bazel,-kernel,
aspect-build_rules_js,bazel,,
autodiff_autodiff,bazel,,//...
bazelbuild_bazel-gazelle,bazel,,
bazelbuild_bazel-skylib,bazel,,//...
bazelbuild_bazel-toolchains,bazel,,//...
bazelbuild_bazel-watcher,bazel,,//...
bazelbuild_bazelisk,bazel,-kernel,
bazelbuild_buildtools,bazel,,
bazelbuild_rules_dotnet,bazel,,
bazelbuild_rules_go,bazel,,
bazelbuild_rules_jvm_external,bazel,,
bazelbuild_rules_kotlin,bazel,,
bazelbuild_rules_rust,bazel,,
bazelbuild_starlark,bazel,,//...
bazeltools_bazel-deps,bazel,,
catchorg_Catch2,bazel,,
chipsalliance_verible,bazel,,
evilcorpltd_aTox,bazel,-kernel,
gTile_gTile,bazel,,
google_allocation-instrumenter,bazel,,
google_brotli,bazel,,
google_brunsli,bazel,,
google_cctz,bazel,,
google_cel-cpp,bazel,,//...
google_cel-spec,bazel,,//...
google_chrome-ssh-agent,bazel,-kernel,
google_closure-templates,bazel,,...
google_copybara,bazel,,//java/com/google/copybara
google_cpu_features,bazel,,
google_double-conversion,bazel,,
google_flatbuffers,bazel,,
google_gemmlowp,bazel,,
google_go-jsonnet,bazel,,
google_guice,bazel,,//...
google_j2cl,bazel,,
google_jni-bind,bazel,,
google_re2,bazel,-kernel,
googleapis_gapic-generator-go,bazel,,//...
grpc-ecosystem_grpc-gateway,bazel,,
grpc_grpc-java,bazel,,
grpc_grpc-kotlin,bazel,,//...
grpc_grpc-proto,bazel,,
hedronvision_bazel-compile-commands-extractor,bazel,,
jbcoe_polymorphic_value,bazel,,
jesec_rtorrent,bazel,,
jupp0r_prometheus-cpp,bazel,,//...
livegrep_livegrep,bazel,-kernel,
lowRISC_opentitan,bazel,,
opencivicdata_ocd-division-ids,bazel,,//...
openconfig_gnmi,bazel,,//...
openconfig_gnoi,bazel,,//...
pytorch_cpuinfo,bazel,,//...
salesforce_rules_spring,bazel,,//...
sogou_srpc,bazel,,
squzy_squzy,bazel,,//...
stackb_rules_proto,bazel,,
